FeatureCode,DateCode,variable,value
S12000028,2008,Killed_Injured,56
S12000029,2008,Killed_Injured,143
S12000030,2008,Killed_Injured,82
S12000033,2008,Killed_Injured,136
S12000034,2008,Killed_Injured,258
S12000035,2008,Killed_Injured,124
S12000036,2008,Killed_Injured,196
S12000038,2008,Killed_Injured,75
S12000039,2008,Killed_Injured,26
S12000040,2008,Killed_Injured,81
S12000041,2008,Killed_Injured,77
S12000042,2008,Killed_Injured,63
S12000045,2008,Killed_Injured,24
S12000047,2008,Killed_Injured,128
S12000048,2008,Killed_Injured,129
S92000003,2008,Killed_Injured,2842
S12000005,2009,Killed_Injured,17
S12000006,2009,Killed_Injured,130
S12000008,2009,Killed_Injured,49
S12000010,2009,Killed_Injured,47
S12000011,2009,Killed_Injured,21
S12000013,2009,Killed_Injured,7
S12000014,2009,Killed_Injured,58
S12000017,2009,Killed_Injured,155
S12000018,2009,Killed_Injured,28
S12000019,2009,Killed_Injured,38
S12000020,2009,Killed_Injured,45
S12000021,2009,Killed_Injured,66
S12000023,2009,Killed_Injured,6
S12000026,2009,Killed_Injured,104
S12000027,2009,Killed_Injured,5
S12000028,2009,Killed_Injured,58
S12000029,2009,Killed_Injured,139
S12000030,2009,Killed_Injured,59
S12000033,2009,Killed_Injured,86
S12000034,2009,Killed_Injured,246
S12000035,2009,Killed_Injured,78
S12000036,2009,Killed_Injured,148
S12000038,2009,Killed_Injured,68
S12000039,2009,Killed_Injured,27
S12000040,2009,Killed_Injured,73
S12000041,2009,Killed_Injured,67
S12000042,2009,Killed_Injured,70
S12000045,2009,Killed_Injured,23
S12000047,2009,Killed_Injured,120
S12000048,2009,Killed_Injured,118
S92000003,2009,Killed_Injured,2502
S12000005,2010,Killed_Injured,21
S12000006,2010,Killed_Injured,72
S12000008,2010,Killed_Injured,55
S12000010,2010,Killed_Injured,37
S12000011,2010,Killed_Injured,26
S12000013,2010,Killed_Injured,12
S12000014,2010,Killed_Injured,44
S12000017,2010,Killed_Injured,128
S12000018,2010,Killed_Injured,22
S12000019,2010,Killed_Injured,30
S12000020,2010,Killed_Injured,39
S12000021,2010,Killed_Injured,30
S12000023,2010,Killed_Injured,5
S12000026,2010,Killed_Injured,95
S12000027,2010,Killed_Injured,4
S12000028,2010,Killed_Injured,60
S12000029,2010,Killed_Injured,95
S12000030,2010,Killed_Injured,61
S12000033,2010,Killed_Injured,82
S12000034,2010,Killed_Injured,228
S12000035,2010,Killed_Injured,81
S12000036,2010,Killed_Injured,135
S12000038,2010,Killed_Injured,64
S12000039,2010,Killed_Injured,26
S12000040,2010,Killed_Injured,61
S12000041,2010,Killed_Injured,60
S12000042,2010,Killed_Injured,46
S12000045,2010,Killed_Injured,26
