FeatureCode,DateCode,Measurement,Units,Value,Indicator (road network traffic)
S12000033,2016,Count,Vehicle Kilometres,1332.96,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2016,Count,Vehicle Kilometres,1022.98,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2018,Count,Vehicle Kilometres,1336.92,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2019,Count,Vehicle Kilometres,2819.63,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2017,Count,Vehicle Kilometres,2776.72,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2006,Count,Vehicle Kilometres,2551,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2010,Count,Vehicle Kilometres,2446.8,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2015,Count,Vehicle Kilometres,2597.84,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2013,Count,Vehicle Kilometres,2502.4,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2012,Count,Vehicle Kilometres,2484.67,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2018,Count,Vehicle Kilometres,2790.29,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2008,Count,Vehicle Kilometres,2468,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2006,Count,Vehicle Kilometres,907,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2018,Count,Vehicle Kilometres,810.69,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2016,Count,Vehicle Kilometres,793.03,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2018,Count,Vehicle Kilometres,155.02,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2019,Count,Vehicle Kilometres,813.48,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2014,Count,Vehicle Kilometres,913.16,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2017,Count,Vehicle Kilometres,810.82,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2007,Count,Vehicle Kilometres,792,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2010,Count,Vehicle Kilometres,885.67,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2006,Count,Vehicle Kilometres,131,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2009,Count,Vehicle Kilometres,137,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2012,Count,Vehicle Kilometres,133.69,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2008,Count,Vehicle Kilometres,137,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2007,Count,Vehicle Kilometres,137,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2010,Count,Vehicle Kilometres,136.18,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2019,Count,Vehicle Kilometres,155.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2013,Count,Vehicle Kilometres,137.47,The Total Million Vehicle Kilometres On Scottish Roads
S12000023,2011,Count,Vehicle Kilometres,134.78,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2014,Count,Vehicle Kilometres,769.22,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2012,Count,Vehicle Kilometres,746.25,The Total Million Vehicle Kilometres On Scottish Roads
S12000020,2007,Count,Vehicle Kilometres,743,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2016,Count,Vehicle Kilometres,965.82,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2015,Count,Vehicle Kilometres,778.97,The Total Million Vehicle Kilometres On Scottish Roads
S12000020,2013,Count,Vehicle Kilometres,727.58,The Total Million Vehicle Kilometres On Scottish Roads
S12000020,2014,Count,Vehicle Kilometres,755.51,The Total Million Vehicle Kilometres On Scottish Roads
S12000020,2010,Count,Vehicle Kilometres,716.47,The Total Million Vehicle Kilometres On Scottish Roads
S12000020,2008,Count,Vehicle Kilometres,739,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2009,Count,Vehicle Kilometres,782,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2007,Count,Vehicle Kilometres,910,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2011,Count,Vehicle Kilometres,767.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2006,Count,Vehicle Kilometres,769,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2008,Count,Vehicle Kilometres,792,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2018,Count,Vehicle Kilometres,987.1,The Total Million Vehicle Kilometres On Scottish Roads
S12000035,2011,Count,Vehicle Kilometres,882.51,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2013,Count,Vehicle Kilometres,744.05,The Total Million Vehicle Kilometres On Scottish Roads
S12000021,2010,Count,Vehicle Kilometres,770.34,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2012,Count,Vehicle Kilometres,2739.12,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2015,Count,Vehicle Kilometres,1257.29,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2016,Count,Vehicle Kilometres,1290.95,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2019,Count,Vehicle Kilometres,1304.55,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2011,Count,Vehicle Kilometres,2719.32,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2010,Count,Vehicle Kilometres,2734.37,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2008,Count,Vehicle Kilometres,2814,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2014,Count,Vehicle Kilometres,1223.58,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2013,Count,Vehicle Kilometres,2808.18,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2010,Count,Vehicle Kilometres,1182.42,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2018,Count,Vehicle Kilometres,1312.95,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2009,Count,Vehicle Kilometres,1198,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2018,Count,Vehicle Kilometres,3193.93,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2014,Count,Vehicle Kilometres,2950.12,The Total Million Vehicle Kilometres On Scottish Roads
S12000026,2011,Count,Vehicle Kilometres,1183.7,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2009,Count,Vehicle Kilometres,2762,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2016,Count,Vehicle Kilometres,3109.85,The Total Million Vehicle Kilometres On Scottish Roads
